cleaned_text,sentimen,text_without_stopwords,test_nltk,tokens
lagian laki laki hobi banget bawa janda buat bahan bercandaan tidak mutu padahal adanya janda karena ketidakmampuan laki laki loh ditinggal mati tanpa aset selingkuh kdrt,negatif,lagian laki laki hobi banget bawa janda buat bahan bercandaan mutu padahal adanya janda ketidakmampuan laki laki loh ditinggal mati aset selingkuh kdrt,laki laki hobi banget bawa janda bahan bercandaan mutu janda ketidakmampuan laki laki loh ditinggal mati aset selingkuh kdrt,"['lagian', 'laki', 'laki', 'hobi', 'banget', 'bawa', 'janda', 'buat', 'bahan', 'bercandaan', 'mutu', 'padahal', 'adanya', 'janda', 'ketidakmampuan', 'laki', 'laki', 'loh', 'ditinggal', 'mati', 'aset', 'selingkuh', 'kdrt']"
mohon bantuan doanya buat temanku dia hilang tidak bisa ku kontak dari kemarin gaada di rumah saya telp kantornya dia gamasuk kemarin dan resign per hari ini plis saya khawatir banget dia ada riwayat kdrt dengan kakaknya dia tinggal sama kakaknya semoga dia aman,negatif,mohon bantuan doanya buat temanku hilang ku kontak kemarin gaada rumah telp kantornya gamasuk kemarin resign per hari plis khawatir banget ada riwayat kdrt kakaknya tinggal sama kakaknya semoga aman,mohon bantuan doanya temanku hilang ku kontak kemarin gaada rumah telp kantornya gamasuk kemarin resign plis khawatir banget riwayat kdrt kakaknya tinggal kakaknya semoga aman,"['mohon', 'bantuan', 'doanya', 'buat', 'temanku', 'hilang', 'ku', 'kontak', 'kemarin', 'gaada', 'rumah', 'telp', 'kantornya', 'gamasuk', 'kemarin', 'resign', 'per', 'hari', 'plis', 'khawatir', 'banget', 'ada', 'riwayat', 'kdrt', 'kakaknya', 'tinggal', 'sama', 'kakaknya', 'semoga', 'aman']"
heh kalian ini yak sudah kaya kucing sama kucing pagipagi sudah kdrt yang satu ngomel yang satu tidak peka,negatif,heh kalian yak kaya kucing sama kucing pagipagi kdrt satu ngomel satu peka,heh yak kaya kucing kucing pagipagi kdrt ngomel peka,"['heh', 'kalian', 'yak', 'kaya', 'kucing', 'sama', 'kucing', 'pagipagi', 'kdrt', 'satu', 'ngomel', 'satu', 'peka']"
plek ketiplek bapak ku mabuk agama merasa paling benar kdrt bahkan anaknya sndri dikatain kalimat tidak senonoh suka ngarang cerita dan yang paling kacau bikin kami tidak betah lagi sama beliau adalah npd ya walau belum diagnosis sah dari dokter tetapi semua cirinya sama kaya di literasi,negatif,plek ketiplek bapak ku mabuk agama merasa paling benar kdrt anaknya sndri dikatain kalimat senonoh suka ngarang cerita paling kacau bikin betah sama beliau npd walau diagnosis sah dokter cirinya sama kaya literasi,plek ketiplek ku mabuk agama kdrt anaknya sndri dikatain kalimat senonoh suka ngarang cerita kacau bikin betah beliau npd diagnosis sah dokter cirinya kaya literasi,"['plek', 'ketiplek', 'bapak', 'ku', 'mabuk', 'agama', 'merasa', 'paling', 'benar', 'kdrt', 'anaknya', 'sndri', 'dikatain', 'kalimat', 'senonoh', 'suka', 'ngarang', 'cerita', 'paling', 'kacau', 'bikin', 'betah', 'sama', 'beliau', 'npd', 'walau', 'diagnosis', 'sah', 'dokter', 'cirinya', 'sama', 'kaya', 'literasi']"
ini kejadian nyata yang dialami sama tanteku korban kdrt untung saja akhirnya tercerahkan untuk segera lepas dari suami dan keluarga sang suami,positif,kejadian nyata dialami sama tanteku korban kdrt untung akhirnya tercerahkan segera lepas suami keluarga sang suami,kejadian nyata dialami tanteku korban kdrt untung tercerahkan lepas suami keluarga sang suami,"['kejadian', 'nyata', 'dialami', 'sama', 'tanteku', 'korban', 'kdrt', 'untung', 'akhirnya', 'tercerahkan', 'segera', 'lepas', 'suami', 'keluarga', 'sang', 'suami']"
rumah tangga penuh kdrt tetapi tidak ada yang jadi korban selain anak karena mereka memilih sama bertahan memilih yang katanya cinta memilih apa kata orang kalau mereka mengorbankan anaknya tidak apa apa now i hate them both equally,negatif,rumah tangga penuh kdrt korban anak memilih sama bertahan memilih katanya cinta memilih apa kata orang mengorbankan anaknya apa apa now i hate them both equally,rumah tangga penuh kdrt korban anak memilih bertahan memilih cinta memilih orang mengorbankan anaknya now i hate them both equally,"['rumah', 'tangga', 'penuh', 'kdrt', 'korban', 'anak', 'memilih', 'sama', 'bertahan', 'memilih', 'katanya', 'cinta', 'memilih', 'apa', 'kata', 'orang', 'mengorbankan', 'anaknya', 'apa', 'apa', 'now', 'i', 'hate', 'them', 'both', 'equally']"
banyak loh wanita terpaksa pilih berstatus janda karena korban kdrt perselingkuhan bukan hal yang mudah untuk wanita menjadi orang tua tunggal dan perlu waktu untuk bangkit tetapi ini ko malah dibecandakan seperti ini ya sebegitukah menganggap ibu yang berjuang sendiri terlalu,negatif,banyak loh wanita terpaksa pilih berstatus janda korban kdrt perselingkuhan bukan mudah wanita menjadi orang tua tunggal perlu waktu bangkit ko dibecandakan sebegitukah menganggap ibu berjuang sendiri,loh wanita terpaksa pilih berstatus janda korban kdrt perselingkuhan mudah wanita orang tua tunggal bangkit ko dibecandakan sebegitukah menganggap berjuang,"['banyak', 'loh', 'wanita', 'terpaksa', 'pilih', 'berstatus', 'janda', 'korban', 'kdrt', 'perselingkuhan', 'bukan', 'mudah', 'wanita', 'menjadi', 'orang', 'tua', 'tunggal', 'perlu', 'waktu', 'bangkit', 'ko', 'dibecandakan', 'sebegitukah', 'menganggap', 'ibu', 'berjuang', 'sendiri']"
saya yang citacitanya pgn nikah cepet lalu lihat berita lalu lalang tentang kdrt misoginis patriaki dan opini laki tentang wanita ngebuat saya berpikir sangat untuk nikah marriage is scary,negatif,citacitanya pgn nikah cepet lalu lihat berita lalu lalang kdrt misoginis patriaki opini laki wanita ngebuat berpikir sangat nikah marriage is scary,citacitanya pgn nikah cepet lihat berita lalang kdrt misoginis patriaki opini laki wanita ngebuat berpikir nikah marriage is scary,"['citacitanya', 'pgn', 'nikah', 'cepet', 'lalu', 'lihat', 'berita', 'lalu', 'lalang', 'kdrt', 'misoginis', 'patriaki', 'opini', 'laki', 'wanita', 'ngebuat', 'berpikir', 'sangat', 'nikah', 'marriage', 'is', 'scary']"
banyak sih yang ky begini sok alim tetapi pedo suka kdrt mata keranjang diktator patriarki radikal tidak semua tetapi kebanyakan,negatif,banyak sih ky begini sok alim pedo suka kdrt mata keranjang diktator patriarki radikal kebanyakan,sih ky sok alim pedo suka kdrt mata keranjang diktator patriarki radikal kebanyakan,"['banyak', 'sih', 'ky', 'begini', 'sok', 'alim', 'pedo', 'suka', 'kdrt', 'mata', 'keranjang', 'diktator', 'patriarki', 'radikal', 'kebanyakan']"
sudah jomblo banyak berita selingkuh dan kdrt bukan takut menikahnya tetapi takut salah pilih laki,negatif,jomblo banyak berita selingkuh kdrt bukan takut menikahnya takut salah pilih laki,jomblo berita selingkuh kdrt takut menikahnya takut salah pilih laki,"['jomblo', 'banyak', 'berita', 'selingkuh', 'kdrt', 'bukan', 'takut', 'menikahnya', 'takut', 'salah', 'pilih', 'laki']"
yang bodoh itu jelas kamukasih perbandingan kok sama sinteron ya saya ketawa cog dan kamumalah vonis nuduh saya kalau kasus kdrt adalah entertainment l lebih kocag lagi coeg terlalu berlagak seperti korban jadi manusia malah so soan garis besar sinteron aelah lawak,negatif,bodoh jelas kamukasih perbandingan kok sama sinteron ketawa cog kamumalah vonis nuduh kasus kdrt entertainment l lebih kocag coeg berlagak korban manusia so soan garis besar sinteron aelah lawak,bodoh kamukasih perbandingan sinteron ketawa cog kamumalah vonis nuduh kdrt entertainment l kocag coeg berlagak korban manusia so soan garis sinteron aelah lawak,"['bodoh', 'jelas', 'kamukasih', 'perbandingan', 'kok', 'sama', 'sinteron', 'ketawa', 'cog', 'kamumalah', 'vonis', 'nuduh', 'kasus', 'kdrt', 'entertainment', 'l', 'lebih', 'kocag', 'coeg', 'berlagak', 'korban', 'manusia', 'so', 'soan', 'garis', 'besar', 'sinteron', 'aelah', 'lawak']"
sori kalau seperti adu nasib mamaku dulu pns bpom tetapi jadi korban kdrt saya adikku yang masih bayi juga dan diselingkuhi oleh suaminya dengan semua tekanan mental dan fisik tersebut beliau terpaksa mengundurkan diri dan fokus mengurus perceraiannya dan mengurus saya dan adikku,negatif,sori adu nasib mamaku dulu pns bpom korban kdrt adikku bayi diselingkuhi suaminya tekanan mental fisik tersebut beliau terpaksa mengundurkan diri fokus mengurus perceraiannya mengurus adikku,sori adu nasib mamaku pns bpom korban kdrt adikku bayi diselingkuhi suaminya tekanan mental fisik beliau terpaksa mengundurkan fokus mengurus perceraiannya mengurus adikku,"['sori', 'adu', 'nasib', 'mamaku', 'dulu', 'pns', 'bpom', 'korban', 'kdrt', 'adikku', 'bayi', 'diselingkuhi', 'suaminya', 'tekanan', 'mental', 'fisik', 'tersebut', 'beliau', 'terpaksa', 'mengundurkan', 'diri', 'fokus', 'mengurus', 'perceraiannya', 'mengurus', 'adikku']"
jahat banget memang saudara saya ada janda cerai karena suaminya kdrt dia beserta anak nya tetapi yang dicap jelek cweknya prnah kocaknya saya sama saudara saya ini mau pindahin barang seperti kulkas dan lainlainnya sudah booking losbak dibatalin jam sebelum kita brgkt alesannya dilarang istri mamangnya karena bantu janda,negatif,jahat banget saudara ada janda cerai suaminya kdrt beserta anak nya dicap jelek cweknya prnah kocaknya sama saudara mau pindahin barang kulkas lainlainnya booking losbak dibatalin jam brgkt alesannya dilarang istri mamangnya bantu janda,jahat banget saudara janda cerai suaminya kdrt beserta anak nya dicap jelek cweknya prnah kocaknya saudara pindahin barang kulkas lainlainnya booking losbak dibatalin jam brgkt alesannya dilarang istri mamangnya bantu janda,"['jahat', 'banget', 'saudara', 'ada', 'janda', 'cerai', 'suaminya', 'kdrt', 'beserta', 'anak', 'nya', 'dicap', 'jelek', 'cweknya', 'prnah', 'kocaknya', 'sama', 'saudara', 'mau', 'pindahin', 'barang', 'kulkas', 'lainlainnya', 'booking', 'losbak', 'dibatalin', 'jam', 'brgkt', 'alesannya', 'dilarang', 'istri', 'mamangnya', 'bantu', 'janda']"
yang bisa di syukur in kata ibu saya sih dia gapernah kdrt tetapi kalau sampai berani akan saya bunuh sih,negatif,syukur in kata ibu sih gapernah kdrt berani bunuh sih,syukur in sih gapernah kdrt berani bunuh sih,"['syukur', 'in', 'kata', 'ibu', 'sih', 'gapernah', 'kdrt', 'berani', 'bunuh', 'sih']"
sebuah penghinaan bagi wanita laki dan anak di luar sana yang benaran ngalamin kdrt tuduhan palsu harusnya dituntut balik tuh cewek,negatif,sebuah penghinaan wanita laki anak luar sana benaran ngalamin kdrt tuduhan palsu harusnya dituntut balik tuh cewek,penghinaan wanita laki anak benaran ngalamin kdrt tuduhan palsu dituntut tuh cewek,"['sebuah', 'penghinaan', 'wanita', 'laki', 'anak', 'luar', 'sana', 'benaran', 'ngalamin', 'kdrt', 'tuduhan', 'palsu', 'harusnya', 'dituntut', 'balik', 'tuh', 'cewek']"
orang tuh aneh anjing padahal kebanyakan perempuan jadi janda juga garagara lakinye entah kdrt entah selingkuh entah tidak beradab pengangguran kerjaan main slot nafkah anak bini gadiurus tetapi yang kena shame tetap saja perempuannya goblok memang,negatif,orang tuh aneh anjing padahal kebanyakan perempuan janda garagara lakinye entah kdrt entah selingkuh entah beradab pengangguran kerjaan main slot nafkah anak bini gadiurus kena shame tetap perempuannya goblok,orang tuh aneh anjing kebanyakan perempuan janda garagara lakinye kdrt selingkuh beradab pengangguran kerjaan main slot nafkah anak bini gadiurus kena shame perempuannya goblok,"['orang', 'tuh', 'aneh', 'anjing', 'padahal', 'kebanyakan', 'perempuan', 'janda', 'garagara', 'lakinye', 'entah', 'kdrt', 'entah', 'selingkuh', 'entah', 'beradab', 'pengangguran', 'kerjaan', 'main', 'slot', 'nafkah', 'anak', 'bini', 'gadiurus', 'kena', 'shame', 'tetap', 'perempuannya', 'goblok']"
ayatayat allah dipakai enabling kdrt kamu mengingatkan boleh tetapi yang adil dong bapaknya noh pelaku kdrt,negatif,ayatayat allah dipakai enabling kdrt mengingatkan adil dong bapaknya noh pelaku kdrt,ayatayat allah dipakai enabling kdrt adil bapaknya noh pelaku kdrt,"['ayatayat', 'allah', 'dipakai', 'enabling', 'kdrt', 'mengingatkan', 'adil', 'dong', 'bapaknya', 'noh', 'pelaku', 'kdrt']"
inilah alasan mengapa saya paling tidak suka statemant kdrt adalah aib dan sejenisnya dengan alasan tidak baik menyebarkan kejelekan orang lain masalahnya kesalahan yang dilakukan itu bisa menyebabkan trauma berkepanjangan ke orang lain astaga lelah banget lihatnya kak,negatif,inilah alasan paling suka statemant kdrt aib sejenisnya alasan baik menyebarkan kejelekan orang masalahnya kesalahan dilakukan menyebabkan trauma berkepanjangan orang astaga lelah banget lihatnya kak,alasan suka statemant kdrt aib sejenisnya alasan menyebarkan kejelekan orang kesalahan menyebabkan trauma berkepanjangan orang astaga lelah banget lihatnya kak,"['inilah', 'alasan', 'paling', 'suka', 'statemant', 'kdrt', 'aib', 'sejenisnya', 'alasan', 'baik', 'menyebarkan', 'kejelekan', 'orang', 'masalahnya', 'kesalahan', 'dilakukan', 'menyebabkan', 'trauma', 'berkepanjangan', 'orang', 'astaga', 'lelah', 'banget', 'lihatnya', 'kak']"
mana tuh saya lihat lihat kemarin ada calon stakeholder bawa bawa lgbtq meresahkan dan sebagainya atur dulu deh pola pikir otaknya mana yang memang ranah publik dan privasi kalau mau ikut campur tuh yang benar sedikit masa lebih suka lihat homo digeruduk dibanding bantu tetangga yang terkena kdrt,negatif,mana tuh lihat lihat kemarin calon stakeholder bawa bawa lgbtq meresahkan sebagainya atur dulu pola pikir otaknya mana ranah publik privasi mau ikut campur tuh benar sedikit masa lebih suka lihat homo digeruduk dibanding bantu tetangga terkena kdrt,tuh lihat lihat kemarin calon stakeholder bawa bawa lgbtq meresahkan atur pola pikir otaknya ranah publik privasi campur tuh suka lihat homo digeruduk dibanding bantu tetangga terkena kdrt,"['mana', 'tuh', 'lihat', 'lihat', 'kemarin', 'calon', 'stakeholder', 'bawa', 'bawa', 'lgbtq', 'meresahkan', 'sebagainya', 'atur', 'dulu', 'pola', 'pikir', 'otaknya', 'mana', 'ranah', 'publik', 'privasi', 'mau', 'ikut', 'campur', 'tuh', 'benar', 'sedikit', 'masa', 'lebih', 'suka', 'lihat', 'homo', 'digeruduk', 'dibanding', 'bantu', 'tetangga', 'terkena', 'kdrt']"
heh babi yang bikin jumlah pernikahan nurun tuh karena orang orang pada tidak siap buat nikah ataupun berumah tangga lihat tuh rakyat kamu banyak yang ngelakuin kekerasan pelecahan kamu tidak lihat banyaknya kasus kdrt sekarang para wanita pun takut sama pria yang makin banyak yang ngelakuin kdrt,negatif,heh babi bikin jumlah pernikahan nurun tuh orang orang siap buat nikah ataupun berumah tangga lihat tuh rakyat banyak ngelakuin kekerasan pelecahan lihat banyaknya kasus kdrt sekarang wanita takut sama pria makin banyak ngelakuin kdrt,heh babi bikin pernikahan nurun tuh orang orang nikah berumah tangga lihat tuh rakyat ngelakuin kekerasan pelecahan lihat banyaknya kdrt wanita takut pria ngelakuin kdrt,"['heh', 'babi', 'bikin', 'jumlah', 'pernikahan', 'nurun', 'tuh', 'orang', 'orang', 'siap', 'buat', 'nikah', 'ataupun', 'berumah', 'tangga', 'lihat', 'tuh', 'rakyat', 'banyak', 'ngelakuin', 'kekerasan', 'pelecahan', 'lihat', 'banyaknya', 'kasus', 'kdrt', 'sekarang', 'wanita', 'takut', 'sama', 'pria', 'makin', 'banyak', 'ngelakuin', 'kdrt']"
kamu bayangkan cewek yang jadi janda karena suaminya meninggal harus urus anak sendirian kena kdrt diselingkuhi lakinya penipu dianiaya mertua dan sebagainya memang mereka mau jalaninnya saja sudah susah masih ditambah sama kalimat gila dari orang tidak berakhlak huuuft kesal sekali,negatif,bayangkan cewek janda suaminya meninggal urus anak sendirian kena kdrt diselingkuhi lakinya penipu dianiaya mertua sebagainya mau jalaninnya susah ditambah sama kalimat gila orang berakhlak huuuft kesal sekali,bayangkan cewek janda suaminya meninggal urus anak kena kdrt diselingkuhi lakinya penipu dianiaya mertua jalaninnya susah ditambah kalimat gila orang berakhlak huuuft kesal,"['bayangkan', 'cewek', 'janda', 'suaminya', 'meninggal', 'urus', 'anak', 'sendirian', 'kena', 'kdrt', 'diselingkuhi', 'lakinya', 'penipu', 'dianiaya', 'mertua', 'sebagainya', 'mau', 'jalaninnya', 'susah', 'ditambah', 'sama', 'kalimat', 'gila', 'orang', 'berakhlak', 'huuuft', 'kesal', 'sekali']"
itu bapak sudah kdrt congornya nyumpahin anaknya mati masih dibela ama akun berlabel agama ya bagaimana tidak banyak yang makin alergi ama orang orang religius kalau yang ngelakuin dakwah online saja povnya begini,negatif,bapak kdrt congornya nyumpahin anaknya mati dibela ama akun berlabel agama bagaimana banyak makin alergi ama orang orang religius ngelakuin dakwah online povnya begini,kdrt congornya nyumpahin anaknya mati dibela ama akun berlabel agama alergi ama orang orang religius ngelakuin dakwah online povnya,"['bapak', 'kdrt', 'congornya', 'nyumpahin', 'anaknya', 'mati', 'dibela', 'ama', 'akun', 'berlabel', 'agama', 'bagaimana', 'banyak', 'makin', 'alergi', 'ama', 'orang', 'orang', 'religius', 'ngelakuin', 'dakwah', 'online', 'povnya', 'begini']"
ketikannya kaya orang gila dia nyembah tuhan atau ego dia sih selama ini saya nemuin orang orang yang benaran taat agama gaada tuh yang kasar bahkan sampai kdrt,negatif,ketikannya kaya orang gila nyembah tuhan ego sih selama nemuin orang orang benaran taat agama gaada tuh kasar kdrt,ketikannya kaya orang gila nyembah tuhan ego sih nemuin orang orang benaran taat agama gaada tuh kasar kdrt,"['ketikannya', 'kaya', 'orang', 'gila', 'nyembah', 'tuhan', 'ego', 'sih', 'selama', 'nemuin', 'orang', 'orang', 'benaran', 'taat', 'agama', 'gaada', 'tuh', 'kasar', 'kdrt']"
suka sedih kalau ada pembahasan tentang kekerasan dalam rumah tangga dalam perspektif agama suka tiba ada yang komen berarti kalau suami saya xxx tidak boleh ya big hugs for them yang selama ini kena kdrt tetapi tidak paham kalau selama ini itu tidak wajar,negatif,suka sedih pembahasan kekerasan rumah tangga perspektif agama suka tiba komen berarti suami xxx boleh big hugs for them selama kena kdrt paham selama wajar,suka sedih pembahasan kekerasan rumah tangga perspektif agama suka komen suami xxx big hugs for them kena kdrt paham wajar,"['suka', 'sedih', 'pembahasan', 'kekerasan', 'rumah', 'tangga', 'perspektif', 'agama', 'suka', 'tiba', 'komen', 'berarti', 'suami', 'xxx', 'boleh', 'big', 'hugs', 'for', 'them', 'selama', 'kena', 'kdrt', 'paham', 'selama', 'wajar']"
jangan nikah muda gaes sudah banyak contohnya berakhir di pengadilan entah karena diselingkuhi atau terkena kdrt stoppp budaya nikah dini atau nikah muda,negatif,jangan nikah muda gaes banyak contohnya berakhir pengadilan entah diselingkuhi terkena kdrt stoppp budaya nikah dini nikah muda,nikah muda gaes contohnya pengadilan diselingkuhi terkena kdrt stoppp budaya nikah nikah muda,"['jangan', 'nikah', 'muda', 'gaes', 'banyak', 'contohnya', 'berakhir', 'pengadilan', 'entah', 'diselingkuhi', 'terkena', 'kdrt', 'stoppp', 'budaya', 'nikah', 'dini', 'nikah', 'muda']"
amit amit astaghfirullah orang manipulatif seperti begitu langsung saja diulti dosa dosa memang kamu tidak dosa kdrt in anak istri,negatif,amit amit astaghfirullah orang manipulatif langsung diulti dosa dosa dosa kdrt in anak istri,amit amit astaghfirullah orang manipulatif langsung diulti dosa dosa dosa kdrt in anak istri,"['amit', 'amit', 'astaghfirullah', 'orang', 'manipulatif', 'langsung', 'diulti', 'dosa', 'dosa', 'dosa', 'kdrt', 'in', 'anak', 'istri']"
asli kak yang kdrt lah diselingkuhi lah benaran dehh bikin takut takut kalau nikah sama orang yang salah,negatif,asli kak kdrt lah diselingkuhi lah benaran dehh bikin takut takut nikah sama orang salah,asli kak kdrt diselingkuhi benaran dehh bikin takut takut nikah orang salah,"['asli', 'kak', 'kdrt', 'lah', 'diselingkuhi', 'lah', 'benaran', 'dehh', 'bikin', 'takut', 'takut', 'nikah', 'sama', 'orang', 'salah']"
meski banyak tantangan dalam rumah tangga seperti kdrt anak tanpa figur ayah atau pernikahan karena materi tetap ada kisah cinta yang menginspirasi kisah khadijah dan rasulullah benar benar menunjukkan cinta yang tulus bikin haru dan percaya kalau cinta sejati itu ada,positif,meski banyak tantangan rumah tangga kdrt anak figur ayah pernikahan materi tetap kisah cinta menginspirasi kisah khadijah rasulullah benar benar menunjukkan cinta tulus bikin haru percaya cinta sejati ada,tantangan rumah tangga kdrt anak figur ayah pernikahan materi kisah cinta menginspirasi kisah khadijah rasulullah cinta tulus bikin haru percaya cinta sejati,"['meski', 'banyak', 'tantangan', 'rumah', 'tangga', 'kdrt', 'anak', 'figur', 'ayah', 'pernikahan', 'materi', 'tetap', 'kisah', 'cinta', 'menginspirasi', 'kisah', 'khadijah', 'rasulullah', 'benar', 'benar', 'menunjukkan', 'cinta', 'tulus', 'bikin', 'haru', 'percaya', 'cinta', 'sejati', 'ada']"
di dunia yang saat ini kebanyakan istri kena kdrt banyak anak fatherless istri matre dan banyak orang yang nikah karena harta baca kisah cinta khadijah sama rasulullah tuh hbwcjbjsnxk banget benar unconditial love parah,positif,dunia saat kebanyakan istri kena kdrt banyak anak fatherless istri matre banyak orang nikah harta baca kisah cinta khadijah sama rasulullah tuh hbwcjbjsnxk banget benar unconditial love parah,dunia kebanyakan istri kena kdrt anak fatherless istri matre orang nikah harta baca kisah cinta khadijah rasulullah tuh hbwcjbjsnxk banget unconditial love parah,"['dunia', 'saat', 'kebanyakan', 'istri', 'kena', 'kdrt', 'banyak', 'anak', 'fatherless', 'istri', 'matre', 'banyak', 'orang', 'nikah', 'harta', 'baca', 'kisah', 'cinta', 'khadijah', 'sama', 'rasulullah', 'tuh', 'hbwcjbjsnxk', 'banget', 'benar', 'unconditial', 'love', 'parah']"
gapaham sama orang kdrt bawa giliran mention cerai malah bwbw agama like kamu kira allah tidak benci kekerasan apalagi dalam rumah tangga kesalahan berpikir,negatif,gapaham sama orang kdrt bawa giliran mention cerai bwbw agama like kira allah benci kekerasan rumah tangga kesalahan berpikir,gapaham orang kdrt bawa giliran mention cerai bwbw agama like allah benci kekerasan rumah tangga kesalahan berpikir,"['gapaham', 'sama', 'orang', 'kdrt', 'bawa', 'giliran', 'mention', 'cerai', 'bwbw', 'agama', 'like', 'kira', 'allah', 'benci', 'kekerasan', 'rumah', 'tangga', 'kesalahan', 'berpikir']"
kocakkk memang allah tidak benci sama orang yang ngelakuin kdrt ke keluarganya duhhh pola pikirnya yang kena,negatif,kocakkk allah benci sama orang ngelakuin kdrt keluarganya duhhh pola pikirnya kena,kocakkk allah benci orang ngelakuin kdrt keluarganya duhhh pola pikirnya kena,"['kocakkk', 'allah', 'benci', 'sama', 'orang', 'ngelakuin', 'kdrt', 'keluarganya', 'duhhh', 'pola', 'pikirnya', 'kena']"
padahal allah membenci kdrt wkekwkekwkwkwk mana dalil memuliakan perempuan sudah,negatif,padahal allah membenci kdrt wkekwkekwkwkwk mana dalil memuliakan perempuan,allah membenci kdrt wkekwkekwkwkwk dalil memuliakan perempuan,"['padahal', 'allah', 'membenci', 'kdrt', 'wkekwkekwkwkwk', 'mana', 'dalil', 'memuliakan', 'perempuan']"
pasrah saya asal tidak tukang selingkuh tidak kdrt tidak kasar,negatif,pasrah asal tukang selingkuh kdrt kasar,pasrah tukang selingkuh kdrt kasar,"['pasrah', 'asal', 'tukang', 'selingkuh', 'kdrt', 'kasar']"
harihari berita isinya orang kdrt atau tidak selingkuh ditambah berita kenaikan pajak yang gede banget sedangkan umr naik palingan segede upil jadi makin yakin buat tidak berkeluarga dulu kasihan anak saya lahir di negara yang begini berantakannya,negatif,harihari berita isinya orang kdrt selingkuh ditambah berita kenaikan pajak gede banget umr naik palingan segede upil makin yakin buat berkeluarga dulu kasihan anak lahir negara begini berantakannya,harihari berita isinya orang kdrt selingkuh ditambah berita kenaikan pajak gede banget umr palingan segede upil berkeluarga kasihan anak lahir negara berantakannya,"['harihari', 'berita', 'isinya', 'orang', 'kdrt', 'selingkuh', 'ditambah', 'berita', 'kenaikan', 'pajak', 'gede', 'banget', 'umr', 'naik', 'palingan', 'segede', 'upil', 'makin', 'yakin', 'buat', 'berkeluarga', 'dulu', 'kasihan', 'anak', 'lahir', 'negara', 'begini', 'berantakannya']"
kak terima kasih ya atas ceritanya kakak hebat banget bisa bertahan sampai sejauh ini saya doain semoga keluarga barunya bisa memiliki pondasi yang baik tanpa kdrt dan menjadikan agama sebagai ketakutan dalam menjalankan kehidupan seharihari semoga allah permudah jalannya,positif,kak terima kasih atas ceritanya kakak hebat banget bertahan sejauh doain semoga keluarga barunya memiliki pondasi baik kdrt menjadikan agama ketakutan menjalankan kehidupan seharihari semoga allah permudah jalannya,kak terima kasih ceritanya kakak hebat banget bertahan doain semoga keluarga barunya memiliki pondasi kdrt menjadikan agama ketakutan menjalankan kehidupan seharihari semoga allah permudah jalannya,"['kak', 'terima', 'kasih', 'atas', 'ceritanya', 'kakak', 'hebat', 'banget', 'bertahan', 'sejauh', 'doain', 'semoga', 'keluarga', 'barunya', 'memiliki', 'pondasi', 'baik', 'kdrt', 'menjadikan', 'agama', 'ketakutan', 'menjalankan', 'kehidupan', 'seharihari', 'semoga', 'allah', 'permudah', 'jalannya']"
tidak etis saja kalau pelaku kdrt dan pemerkosa disebut korban anjjjiirrr,negatif,etis pelaku kdrt pemerkosa disebut korban anjjjiirrr,etis pelaku kdrt pemerkosa korban anjjjiirrr,"['etis', 'pelaku', 'kdrt', 'pemerkosa', 'disebut', 'korban', 'anjjjiirrr']"
byangin saja cewek sudah settle balik krja juga masih urus anak rumah dan suami lakik di indonesia mostly suck si sudahlah tahu betul numpang hidup sama istri masih bnyak aje yang kdrt fisik dan mental sokan agamis ngbanturin istri sama mertua bangke banget,negatif,byangin cewek settle balik krja urus anak rumah suami lakik indonesia mostly suck si sudahlah tahu betul numpang hidup sama istri bnyak aje kdrt fisik mental sokan agamis ngbanturin istri sama mertua bangke banget,byangin cewek settle krja urus anak rumah suami lakik indonesia mostly suck si numpang hidup istri bnyak aje kdrt fisik mental sokan agamis ngbanturin istri mertua bangke banget,"['byangin', 'cewek', 'settle', 'balik', 'krja', 'urus', 'anak', 'rumah', 'suami', 'lakik', 'indonesia', 'mostly', 'suck', 'si', 'sudahlah', 'tahu', 'betul', 'numpang', 'hidup', 'sama', 'istri', 'bnyak', 'aje', 'kdrt', 'fisik', 'mental', 'sokan', 'agamis', 'ngbanturin', 'istri', 'sama', 'mertua', 'bangke', 'banget']"
semoga next saya bisa dapat suami setia straight royal tajir tidak kdrt tidak suka bohong ngerti agama tampan wangi mah bonus tetapi itu boleh juga wna saja laah yaallah,positif,semoga next suami setia straight royal tajir kdrt suka bohong ngerti agama tampan wangi bonus wna laah yaallah,semoga next suami setia straight royal tajir kdrt suka bohong ngerti agama tampan wangi bonus wna laah yaallah,"['semoga', 'next', 'suami', 'setia', 'straight', 'royal', 'tajir', 'kdrt', 'suka', 'bohong', 'ngerti', 'agama', 'tampan', 'wangi', 'bonus', 'wna', 'laah', 'yaallah']"
sudah jelek selingkuh kdrt pula golongan manusia terendah si ini,negatif,jelek selingkuh kdrt golongan manusia terendah si,jelek selingkuh kdrt golongan manusia terendah si,"['jelek', 'selingkuh', 'kdrt', 'golongan', 'manusia', 'terendah', 'si']"
